Function,Concepts,description,example_input,example_output
view_menu,"String Interpolation, Looping, Dictionary concepts",Prints the menu items and their cost.,view_menu(menu),"item | cost
chicken | 12.0
pork | 10.0"
create_order,"Random num generation, Looping (while loop), Object initialization, Dictionary Operation",Creates an order with a random 4-digit ID and empty items list.,create_order(customer),Returns int e.g. 5971
clear_order,"Dictionary Lookup, List Operations",Clears all items in the order and resets cost to zero.,"clear_order(customer, 5971)","Order cleared."
view_order_summary,"Looping, String Interpolation, Function Calling",Displays all items in the order with their cost and the total cost.,"view_order_summary(order, menu)","Order Summary:
chicken - $12.00
Total: $12.00"
add_to_order,"Conditional Statement (If-else), List concepts, String Interpolation, Function Calling",Adds an item to the order if it exists in the menu; updates the order cost.,"add_to_order(customer, 5971, menu, 'chicken')","Added chicken: 12.0"
remove_from_order,"Conditional Statement (If-else), List concepts, String Interpolation, Function Calling",Removes an item from the order if it exists; updates the cost.,"remove_from_order(customer, 5971, menu, 'chicken')","Removed chicken"
calculate_order_cost,"Looping, Dictionary concepts",Calculates and returns the total cost of items in the order.,"calculate_order_cost(order, menu)",Returns float e.g. 12.0
get_receipt,"String Interpolation, Looping, Function Calling, Dictionary iteration",Prints the receipt showing customer name orders and total cost.,"get_receipt(customer, menu)","Alice:
-----
5971
Order Summary:
chicken - $12.00
Total: $12.00
-----
$12.00"
add_to_queue,"List Operations, Looping, Dictionary iteration",Adds an order to the restaurant's order queue.,"add_to_queue(restaurant, customer)",Adds orders to restaurant.order_queue
cook_order,"List Operations, Function Calling, Tuple, Looping, Conditional (if-else)",Cooks an order from the queue and returns order ID and cooking time.,cook_order(restaurant),"Returns (5971, 15) or (-1, 0) if empty"
restock_inventory,"Conditional Statement (if-else), String Interpolation, Dictionary concepts",Restocks an item in inventory if it exists; else prints a not-found message.,"restock_inventory(restaurant, 'chicken', 5)","Restocked chicken. New quantity: 9"
cook_time_helper,"Dictionary Operations, Conditional",Returns the cooking time of a given menu item.,"cook_time_helper(restaurant, 'chicken')",Returns 15
inventory_helper,"Conditional Statements, Dictionary Operations",Checks if the item is available in inventory and decrements the quantity.,"inventory_helper(restaurant, 'chicken')","Returns True (decrements qty) or False"
average_cook_time,"Looping, Function Calling, String Interpolation",Calculates the average cooking time for all orders in the queue.,average_cook_time(restaurant),"Average cooking time: 15.00 minutes."

# Knowledge concept tagging updates:
# - New concepts added: Dictionary iteration, Conditional.
# - Fixed column mix-up (get_receipt, add_to_queue); added Function Calling to view_order_summary; deduplicated cook_order.
# - Added example_input and example_output columns for all 14 functions.
